,Unnamed: 0,id_x,event,venue,occasion,location,status,dish_count,year,month,day,eventt,occasion_type,menu_page_id,price,dish_id,id_y,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
0,0,12463,breakfast,commercial,easter,hotel eastman,complete,67,1900,4,15,breakfast,unknown,4129.0,0,2479,2479,Custard Pie,,295,301,1866,1955,0.05,15.0
1,1,12464,dinner,commercial,easter,republican house,complete,34,1900,4,15,dinner,unknown,4895.0,0,7293,7293,"Cream of Artichokes, Jerusalem",,2,2,1906,1906,0.0,0.0
2,2,12465,fruhstuck breakfast,commercial,,norddeutscher lloyd bremen,complete,84,1900,4,16,breakfast,unknown,5171.0,0,7294,7294,"Assort. Cold Meat, Wanamaker Salad",,2,2,1906,1906,0.5,0.5
3,3,12466,lunch,commercial,,norddeutscher lloyd bremen,complete,63,1900,4,16,lunch,unknown,4895.0,0,7295,7295,French Pot-au-feu,,2,2,1906,1906,0.0,0.0
4,4,12467,dinner,commercial,,norddeutscher lloyd bremen,complete,33,1900,4,16,dinner,unknown,4895.0,0,7296,7296,Santa Claus Ice Cream,,2,2,1906,1906,0.0,0.0
5,5,12468,dinner,commercial,,canadian pacific railway company,complete,37,1900,4,16,dinner,unknown,4129.0,0,2474,2474,Apple Pie,,1487,1618,1851,1987,0.0,25.0
6,6,12469,supper,commercial,,hotel netherland,complete,144,1900,4,16,dinner,unknown,910.0,0,7305,7305,Cocoa pot,,5,5,1900,1943,0.15,0.35
7,7,12470,fruhstuck breakfast,commercial,,norddeutscher lloyd bremen,complete,80,1900,4,17,breakfast,unknown,4895.0,0,7297,7297,Gelee Macedoine,,10,10,1880,1919,0.2,0.25
8,8,12471,lunch,commercial,,norddeutscher lloyd bremen,complete,67,1900,4,17,lunch,unknown,5171.0,0,77083,77083,Small Portion Ham Potato Salad,,2,2,1906,1906,0.0,0.0
9,9,12472,dinner,commercial,,norddeutscher lloyd bremen,complete,29,1900,4,17,dinner,unknown,5171.0,0,232,232,Roast beef,,1224,1334,1851,1987,0.0,75.0
10,10,12473,cafe luncheon,commercial,,hotel marlborough,complete,19,1900,4,17,lunch,unknown,883.0,1,7299,7299,"Chablis, White, D.V. & Co",,1,1,1900,1900,1.0,2.0
11,11,12474,annual banquet,commercial,,alpha of zeta psi,complete,38,1900,4,17,organized,unknown,4895.0,0,7300,7300,Boiled Kennebec Salmon a la Normandie,,2,2,1906,1906,0.0,0.0
12,12,12475,dinner,commercial,,manhattan hotel,complete,176,1900,4,18,dinner,unknown,,0,96,96,Coffee,,7741,8484,1,2928,0.0,30.0
